timestamp,key_value,key_event
1741803733.941,Window gained focus,focus_in
1741803735.745,Window lost focus,focus_out
1741803735.745,Window gained focus,focus_in
1741803735.745,Window gained focus,focus_in
1741803735.745,Window gained focus,focus_in
1741803735.745,Window gained focus,focus_in
1741803735.745,Window gained focus,focus_in
1741803745.130,Window lost focus,focus_out
1741803745.130,Window lost focus,focus_out
1741803745.130,Window lost focus,focus_out
1741803745.130,Window lost focus,focus_out
1741803745.131,Window lost focus,focus_out
1741803745.131,Window lost focus,focus_out
1741803752.818,Window gained focus,focus_in
1741803752.818,Window gained focus,focus_in
1741803752.818,Window gained focus,focus_in
1741803752.818,Window gained focus,focus_in
1741803752.818,Window gained focus,focus_in
1741803752.818,Window gained focus,focus_in
1741803763.452,Window lost focus,focus_out
1741803763.453,Window lost focus,focus_out
1741803763.453,Window lost focus,focus_out
1741803763.453,Window lost focus,focus_out
1741803763.453,Window lost focus,focus_out
1741803763.453,Window lost focus,focus_out
1741803765.783,Window gained focus,focus_in
1741803765.784,Window gained focus,focus_in
1741803765.784,Window gained focus,focus_in
1741803765.784,Window gained focus,focus_in
1741803765.784,Window gained focus,focus_in
1741803765.784,Window gained focus,focus_in
1741803776.552,Window lost focus,focus_out
1741803776.552,Window lost focus,focus_out
1741803776.552,Window lost focus,focus_out
1741803776.553,Window lost focus,focus_out
1741803776.553,Window lost focus,focus_out
1741803776.553,Window lost focus,focus_out
1741803789.453,Window gained focus,focus_in
1741803789.453,Window gained focus,focus_in
1741803789.453,Window gained focus,focus_in
1741803789.453,Window gained focus,focus_in
1741803789.454,Window gained focus,focus_in
1741803789.454,Window gained focus,focus_in
1741803795.741,h,KD
1741803795.862,h,KU
1741803797.639,e,KD
1741803797.690,e,KU
1741803797.835,l,KD
1741803797.897,l,KU
1741803797.990,l,KD
1741803798.062,l,KU
1741803798.221,o,KD
1741803798.260,o,KU
1741803799.000, ,KD
1741803799.091, ,KU
1741803800.089,i,KD
1741803800.162,i,KU
1741803800.293, ,KD
1741803800.368, ,KU
1741803800.429,a,KD
1741803800.490,a,KU
1741803800.522,m,KD
1741803800.596,m,KU
1741803800.691, ,KD
1741803800.770, ,KU
1741803800.853,u,KD
1741803800.942,u,KU
1741803800.990,n,KD
1741803801.081,n,KU
1741803801.130,d,KD
1741803801.160,e,KD
1741803801.166,d,KU
1741803801.231,e,KU
1741803801.319,r,KD
1741803801.390,r,KU
1741803801.643, ,KD
1741803801.739, ,KU
1741803801.907,h,KD
1741803801.974,h,KU
1741803802.477,,KD
1741803802.578,BackSpace,KU
1741803802.699,t,KD
1741803802.764,t,KU
1741803802.785,h,KD
1741803802.851,h,KU
1741803802.900,e,KD
1741803802.956,e,KU
1741803803.059, ,KD
1741803803.112, ,KU
1741803803.647,w,KD
1741803803.711,w,KU
1741803803.808,a,KD
1741803803.871,a,KU
1741803804.339,t,KD
1741803804.418,t,KU
1741803804.511,e,KD
1741803804.562,r,KD
1741803804.585,e,KU
1741803804.628,r,KU
1741803805.927,",",KD
1741803806.019,",",KU
1741803806.149, ,KD
1741803806.211, ,KU
1741803806.339,p,KD
1741803806.425,p,KU
1741803806.441,l,KD
1741803806.581,l,KU
1741803806.748,i,KD
1741803806.811,i,KU
1741803806.881,s,KD
1741803806.935,s,KU
1741803807.013, ,KD
1741803807.091, ,KU
1741803807.519,h,KD
1741803807.599,h,KU
1741803807.639,e,KD
1741803807.689,e,KU
1741803807.765,l,KD
1741803807.871,l,KU
1741803807.909,p,KD
1741803807.995,p,KU
1741803808.117, ,KD
1741803808.179, ,KU
1741803808.275,m,KD
1741803808.351,m,KU
1741803808.385,e,KD
1741803808.433,e,KU
1741803808.493, ,KD
1741803808.498, ,KU
1741803808.789,h,KD
1741803808.875,h,KU
1741803808.927,e,KD
1741803809.005,e,KU
1741803809.105,r,KD
1741803809.184,r,KU
1741803809.186,e,KD
1741803809.239,e,KU
1741803809.305, ,KD
1741803809.395, ,KU
1741803809.453,t,KD
1741803809.505,t,KU
1741803809.559,o,KD
1741803809.633,o,KU
1741803809.747,o,KD
1741803809.811,o,KU
1741803809.977, ,KD
1741803810.043, ,KU
1741803810.083,m,KD
1741803810.185,m,KU
1741803810.251,u,KD
1741803810.351,u,KU
1741803810.385,c,KD
1741803810.451,c,KU
1741803810.460,h,KD
1741803810.527,h,KU
1741803810.649, ,KD
1741803810.727, ,KU
1741803810.889,r,KD
1741803810.967,r,KU
1741803811.083,a,KD
1741803811.141,a,KU
1741803811.183,i,KD
1741803811.281,i,KU
1741803811.317,n,KD
1741803811.409,n,KU
1741803811.447,i,KD
1741803811.513,n,KD
1741803811.541,i,KU
1741803811.607,n,KU
1741803811.612,g,KD
1741803811.651,g,KU
1741803835.221,Window lost focus,focus_out
1741803835.221,Window lost focus,focus_out
1741803835.221,Window lost focus,focus_out
1741803835.222,Window lost focus,focus_out
1741803835.222,Window gained focus,focus_in
1741803835.222,Window gained focus,focus_in
1741803835.450,Question 2: What is your age?,question_change
1741803838.236,Window lost focus,focus_out
1741803838.236,Window gained focus,focus_in
1741803838.459,Question 1: What is your name?,question_change
1741803840.961,Window lost focus,focus_out
1741803840.961,Window gained focus,focus_in
1741803841.185,Question 2: What is your age?,question_change
